Date,Ticker,Close,Shares,MarketCap
2022-08-05 00:00:00-04:00,TSLA,,,
2022-08-05 00:00:00-04:00,MSFT,,,
2022-08-05 00:00:00-04:00,META,167.11000061035156,2659660032.0,444455789570.84766
2022-08-05 00:00:00-04:00,AMD,,,
2022-08-05 00:00:00-04:00,BABA,92.55999755859375,2648140032.0,245111834896.73438
2022-08-05 00:00:00-04:00,AMZN,140.8000030517578,10187599872.0,1434414093067.6875
2022-08-05 00:00:00-04:00,AAPL,,,
2022-08-05 00:00:00-04:00,BIDU,137.82000732421875,345551008.0,47623842453.45117
2022-08-09 00:00:00-04:00,GOOGL,116.62999725341797,13088100352.0,1526465108106.2188
2022-08-09 00:00:00-04:00,TCEHY,35.5872917175293,9701810176.0,345261148921.40625
2022-08-09 00:00:00-04:00,TSLA,,,
2022-08-09 00:00:00-04:00,MSFT,,,
2022-08-09 00:00:00-04:00,META,168.52999877929688,2637979904.0,444578750000.9297
2022-08-09 00:00:00-04:00,AMD,,,
2022-08-09 00:00:00-04:00,BABA,91.19000244140625,2648140032.0,241483895983.26562
2022-08-09 00:00:00-04:00,AMZN,,,
2022-08-09 00:00:00-04:00,AAPL,,,
2022-08-09 00:00:00-04:00,BIDU,135.60000610351562,349300000.0,47365082131.95801
2022-08-16 00:00:00-04:00,GOOGL,121.69999694824219,13084399616.0,1592371393336.7812
2022-08-16 00:00:00-04:00,TCEHY,36.57713317871094,9620899840.0,351904934746.71875
2022-08-16 00:00:00-04:00,TSLA,,,
2022-08-16 00:00:00-04:00,MSFT,,,
2022-08-16 00:00:00-04:00,META,,,
2022-08-16 00:00:00-04:00,AMD,,,
2022-08-16 00:00:00-04:00,BABA,,,
2022-08-16 00:00:00-04:00,AMZN,,,
2022-08-16 00:00:00-04:00,AAPL,,,
2022-08-16 00:00:00-04:00,BIDU,,,
2022-08-19 00:00:00-04:00,GOOGL,117.20999908447266,13016200192.0,1525628812587.6328
2022-08-19 00:00:00-04:00,TCEHY,37.31245040893555,9683120128.0,361300939579.7656
2022-08-19 00:00:00-04:00,TSLA,296.6666564941406,1048380032.0,311019398828.66016
2022-08-19 00:00:00-04:00,MSFT,,,
2022-08-19 00:00:00-04:00,META,,,
2022-08-19 00:00:00-04:00,AMD,,,
2022-08-19 00:00:00-04:00,BABA,89.62999725341797,2689479936.0,241058079276.80273
2022-08-19 00:00:00-04:00,AMZN,,,
